Event_Name,Date_start,Date_end,Address,City,Link
Permian Monsters: Life Before the Dinosaurs,"September 29, 2018","May 5, 2019",3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/permian-monsters-life-before-the-dinosaurs/
Register for summer camps at the Florida Museum,March 1,March 15,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/register-for-summer-camps-at-the-florida-museum/
Cuban Film Festival,March 10,March 16,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/cuban-film-festival/
Limited Cuban Film Serigraph Exhibit and Sale,March 10 @ 8:00 am,March 16 @ 5:00 pm,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/limited-cuban-film-serigraph-exhibit-and-sale/
50th annual Amalie Motor Oil NHRA Gatornationals,March 14,March 17,11211 North County Road 225,Gainesville,https://www.visitgainesville.com/event/50th-annual-amalie-motor-oil-nhra-gatornationals/
New exhibit at Florida Museum offers look at killer whales,March 15 @ 10:00 am,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/new-exhibit-at-florida-museum-offers-look-at-killer-whales/2019-03-15/
A FUNdraiser for Alex,March 15 @ 6:00 pm,n.a.,618 NW 60th St Ste A,Gainesville,https://www.visitgainesville.com/event/a-fundraiser-for-alex/
Bulla Cubana at the Historic Thomas Center,March 15 @ 7:00 pm,n.a.,306 NE 6th Ave,Gainesville,https://www.visitgainesville.com/event/bulla-cubana-at-the-historic-thomas-center/
Miracle on South Division Street,March 15 @ 8:00 pm,n.a.,25 SE 2nd Pl,Gainesville,https://www.visitgainesville.com/event/miracle-on-south-division-street/2019-03-15/
Annual UF HEALTH SHANDS “BIKE RODEO”,March 16 @ 9:00 am,n.a.,250 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/annual-uf-health-shands-bike-rodeo/
Florida Museum and UF Geological Sciences host ‘Can You Dig It?’ March 16,March 16 @ 10:00 am,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/florida-museum-and-uf-geological-sciences-host-can-you-dig-it-march-16/
2nd Annual W3C’s Chili Cook-off,March 16 @ 10:00 am,n.a.,13558 NE 148th Ave,Waldo,https://www.visitgainesville.com/event/2nd-annual-w3cs-chili-cook-off/
2019 Tour of Kitchens,March 16 @ 10:00 am,n.a.,n.a.,n.a.,https://www.visitgainesville.com/event/2019-tour-of-kitchens/
